"Date","Open","High","Low","Close","Volume","AdjClose"
"2014-01-02",57.209999,57.459999,57.040001,57.240002,4219000,55.389383
"2014-01-03",58.200001,58.5,57.709999,58.34,12577400,56.453817
"2014-01-06",59.150002,59.77,58.900002,59.220001,10538100,57.305367
"2014-01-07",59.779999,60.130001,59.529999,59.84,6510600,57.905321
"2014-01-08",59.860001,60.93,59.740002,60.84,6725000,58.87299
"2014-01-09",58,59.740002,57.919998,59.360001,8127900,57.44084
"2014-01-10",59.669998,60.25,59.290001,59.950001,6548700,58.011765
"2014-01-13",59.779999,59.98,59.18,59.25,4264000,57.334396
"2014-01-14",59.5,59.549999,58.880001,59.41,4546500,57.489223
"2014-01-15",59.599998,59.799999,59.18,59.330002,4785100,57.411811
"2014-01-16",59.380001,59.560001,58.98,59.110001,4321400,57.198923
"2014-01-17",59.110001,59.59,58.889999,59.509998,6485100,57.585988
"2014-01-21",59.650002,59.889999,59.029999,59.369999,4484200,57.450515
"2014-01-22",59.5,59.529999,58.66,59.150002,4085200,57.23763
"2014-01-23",59.049999,59.220001,58.540001,58.709999,4396000,56.811854
"2014-01-24",58.400002,58.5,57.16,57.16,5682400,55.311967
"2014-01-27",57.299999,57.630001,56.860001,56.959999,4194300,55.118433
"2014-01-28",57,57.57,57,57.09,4043300,55.244231
"2014-01-29",56.759998,57.09,56.130001,56.360001,5511600,54.537833
"2014-01-30",56.650002,57.310001,56.540001,57.009998,4705800,55.166815
"2014-01-31",56.400002,56.939999,56.110001,56.560001,4404000,54.731367
"2014-02-03",56.560001,56.580002,54.610001,54.709999,7089700,52.941177
"2014-02-04",54.080002,54.689999,53.330002,53.599998,15925000,51.867064
"2014-02-05",53.919998,54.970001,53.73,54.73,9615200,52.960531
"2014-02-06",54.740002,55.07,54.580002,54.75,5124700,52.979885
"2014-02-07",55.529999,55.720001,55.09,55.59,4302300,53.792727
"2014-02-10",55.700001,55.970001,55.599998,55.810001,3688000,54.005615
"2014-02-11",55.689999,56.529999,55.619999,56.470001,3407600,54.644277
"2014-02-12",56.650002,56.830002,56.27,56.43,3032300,54.605569
"2014-02-13",56.23,56.610001,56.07,56.599998,2543900,54.770071
"2014-02-14",56.560001,57,56.150002,56.880001,5154800,55.041021
"2014-02-18",56.790001,56.790001,55.299999,56.189999,7561500,54.373327
"2014-02-19",56.130001,57.07,56,56.200001,6517500,54.383006
"2014-02-20",56.360001,57.029999,56.169998,57,3846200,55.15714
"2014-02-21",57.07,57.709999,57,57.119999,5084600,55.27326
"2014-02-24",57.259998,58.040001,57.16,57.599998,4390700,55.73774
"2014-02-25",57.75,57.759998,57.049999,57.450001,3253500,55.592592
"2014-02-26",57.630001,58.23,57.52,57.810001,4008400,55.940954
"2014-02-27",57.720001,58.32,57.720001,58.299999,3500300,56.41511
"2014-02-28",58.27,59.799999,58.259998,59.259998,7156700,57.344071
"2014-03-03",58.689999,59.41,58.529999,59.040001,4802400,57.131186
"2014-03-04",59.650002,59.880001,59.450001,59.650002,4331100,57.721465
"2014-03-05",59.75,59.84,59.200001,59.639999,3192600,57.711786
"2014-03-06",59.950001,60,59.439999,59.77,4134500,57.837584
"2014-03-07",60.029999,60.029999,59.369999,59.91,4133200,57.973057
"2014-03-10",59.630001,60.099998,59.400002,60.07,4343700,58.127884
"2014-03-11",60.060001,60.75,59.779999,60.259998,5143800,58.31174
"2014-03-12",59.98,60.240002,59.639999,59.830002,4259700,57.895646
"2014-03-13",60,60.240002,58.880001,59.029999,3963700,57.121508
"2014-03-14",59.040001,59.509998,58.799999,58.860001,4333000,56.957006
"2014-03-17",58.98,59.639999,58.98,59.220001,3577000,57.305367
"2014-03-18",59.32,60.169998,59.279999,59.849998,3612300,57.914996
"2014-03-19",60,60.490002,59.43,59.849998,3510700,57.914996
"2014-03-20",59.810001,59.810001,59.169998,59.580002,2891600,57.653728
"2014-03-21",60.060001,60.380001,58.66,58.830002,7155000,56.927977
"2014-03-24",59.16,59.220001,57.860001,58.150002,4424900,56.269961
"2014-03-25",58.349998,59.07,58.32,59,2971700,57.092479
"2014-03-26",59.349998,59.98,59.200001,59.290001,4136700,57.373104
"2014-03-27",59.220001,59.360001,58.470001,59.169998,4886500,57.256981
"2014-03-28",59.709999,60.91,59.650002,60.41,7155800,58.456892
"2014-03-31",61.5,61.740002,60.709999,61.540001,7741700,59.550359
"2014-04-01",61.610001,62.200001,61.389999,61.610001,4626600,59.618096
"2014-04-02",61.080002,62,61.080002,61.860001,4945800,60.1333
"2014-04-03",62.09,62.41,61.880001,62.310001,4971800,60.57074
"2014-04-04",62.150002,62.900002,61.43,61.57,5273600,59.851394
"2014-04-07",61.560001,62.139999,61.459999,61.619999,5609000,59.899998
"2014-04-08",61.610001,61.740002,60.860001,61,4307800,59.297305
"2014-04-09",60.959999,61.459999,60.75,61.400002,5252400,59.686141
"2014-04-10",61.470001,61.700001,59.669998,60.099998,5712600,58.422425
"2014-04-11",59.849998,59.900002,59.110001,59.200001,4727200,57.547549
"2014-04-14",56.150002,58.360001,55.849998,58.080002,10496000,56.458813
"2014-04-15",58,58.459999,56.990002,58.049999,6820300,56.429648
"2014-04-16",58.52,58.740002,57.959999,58.490002,5001000,56.857368
"2014-04-17",58.360001,59.240002,58.18,58.549999,6056000,56.915691
"2014-04-21",58.119999,59.110001,58.060001,58.939999,3844000,57.294804
"2014-04-22",59,59.18,58.299999,58.299999,4161700,56.672669
"2014-04-23",58.27,58.5,57.950001,58.380001,3521100,56.750438
"2014-04-24",58.790001,58.950001,58.18,58.34,3387900,56.711554
"2014-04-25",58.369999,58.369999,57.810001,58.209999,3141200,56.585181
"2014-04-28",58.82,58.939999,58,58.73,5156300,57.090667
"2014-04-29",58.799999,59.049999,58.610001,58.799999,2747600,57.158713
"2014-04-30",58.700001,58.84,58.41,58.82,3143100,57.178155
"2014-05-01",58.84,59.5,58.560001,59.209999,3765600,57.557268
"2014-05-02",59.279999,59.389999,58.619999,58.77,4189200,57.129551
"2014-05-05",58.619999,59.150002,58.25,59.049999,3979300,57.401735
"2014-05-06",59.040001,59.610001,58.900002,59.200001,3878100,57.547549
"2014-05-07",59.330002,59.41,58.669998,59.32,3716600,57.664199
"2014-05-08",59.290001,59.790001,59.27,59.43,3215800,57.771129
"2014-05-09",59.529999,60.349998,59.43,60.169998,3686000,58.490471
"2014-05-12",60.450001,61.169998,60.389999,60.990002,3097000,59.287586
"2014-05-13",61.02,61.18,60.419998,60.830002,3612700,59.132052
"2014-05-14",60.720001,61,60.580002,60.650002,2821100,58.957076
"2014-05-15",60.400002,60.549999,59.75,59.91,4631500,58.23773
"2014-05-16",60.009998,60.400002,59.720001,60.389999,3945700,58.704331
"2014-05-19",60.290001,60.68,60.150002,60.34,3556200,58.655728
"2014-05-20",59.860001,59.889999,58.73,59.41,6871400,57.751687
"2014-05-21",59.599998,60.07,59.389999,59.759998,3348700,58.091915
"2014-05-22",59.73,59.950001,59.369999,59.779999,2511500,58.111358
"2014-05-23",59.799999,60,59.669998,59.93,1890500,58.257172
"2014-05-27",60.080002,60.5,59.91,60.419998,2302500,58.733493
"2014-05-28",60.459999,60.529999,60.16,60.16,2490100,58.480752
"2014-05-29",60.32,60.700001,60.119999,60.619999,1996600,58.927911
"2014-05-30",60.52,61.060001,60.509998,61.029999,2881300,59.326466
"2014-06-02",61,61.099998,60.549999,61.02,1925500,59.316747
"2014-06-03",60.82,61.07,60.490002,61.009998,3738700,59.307024
"2014-06-04",61,64.330002,60.849998,63.220001,12427300,61.455339
"2014-06-05",61.860001,62.27,61.709999,62.040001,7570500,60.308276
"2014-06-06",62.27,62.66,62.119999,62.470001,3485700,60.726274
"2014-06-09",62.189999,62.459999,62,62.240002,2859200,60.502694
"2014-06-10",62.009998,62.009998,61.41,61.860001,3030600,60.1333
"2014-06-11",61.52,61.639999,60.93,61.169998,3126800,59.462558
"2014-06-12",61.220001,61.32,60.619999,60.790001,3518600,59.093168
"2014-06-13",61.93,61.93,60.59,60.700001,2085300,59.00568
"2014-06-16",63.459999,63.900002,58.32,60.029999,65437800,58.354379
"2014-06-17",61.860001,62,60.77,61.580002,28563100,59.861117
"2014-06-18",61.889999,63.93,61.650002,63.77,20710500,61.989986
"2014-06-19",64.019997,65.5,64,64.669998,23598400,62.864862
"2014-06-20",64.980003,65.150002,63.560001,63.860001,17900300,62.077474
"2014-06-23",63.810001,64.580002,63.700001,64.139999,10238600,62.349657
"2014-06-24",63.740002,64.650002,63.66,64.07,9764000,62.281612
"2014-06-25",64.309998,64.68,64,64.199997,8209700,62.40798
"2014-06-26",64.400002,64.699997,63.720001,64.660004,10264200,62.855147
"2014-06-27",64.639999,64.75,63.889999,64.120003,10748200,62.330219
"2014-06-30",64.309998,64.43,63.669998,63.759998,11711600,61.980263
"2014-07-01",63.290001,64.07,63.200001,63.91,7730100,62.424691
"2014-07-02",63.91,64.209999,63.66,63.91,7148200,62.424691
"2014-07-03",64.18,64.559998,63.810001,64.550003,4349900,63.049821
"2014-07-07",63.91,64.220001,63.27,63.610001,7616000,62.131664
"2014-07-08",64.080002,64.220001,63.509998,63.619999,7627800,62.14143
"2014-07-09",64.059998,64.300003,63.5,63.599998,7576000,62.121895
"2014-07-10",63.130001,63.57,62.650002,63.470001,5161600,61.994919
"2014-07-11",63.439999,63.849998,62.880001,63.790001,7533700,62.307481
"2014-07-14",64,64.089996,63.419998,64.040001,8873200,62.551671
"2014-07-15",63.869999,64.349998,63.540001,63.560001,9138900,62.082827
"2014-07-16",63.5,63.799999,61.970001,62.93,15113600,61.467468
"2014-07-17",62.709999,62.759998,61.470001,61.52,10053000,60.090237
"2014-07-18",61.919998,62.619999,61.740002,62.360001,7457300,60.910715
"2014-07-21",62.209999,62.540001,61.73,62.41,5563500,60.959552
"2014-07-22",62.599998,63.110001,62.48,62.709999,8613600,61.252579
"2014-07-23",62.75,63.57,62.52,63.369999,8823000,61.89724
"2014-07-24",63.619999,63.970001,63.209999,63.279999,9664700,61.809332
"2014-07-25",63.259998,63.459999,62.610001,62.900002,5208300,61.438166
"2014-07-28",62.77,63.029999,62.380001,62.759998,5988700,61.301417
"2014-07-29",62.889999,62.98,62.200001,62.650002,6968000,61.193976
"2014-07-30",62.84,62.959999,62.240002,62.580002,6593100,61.125603
"2014-07-31",62.290001,62.349998,61.57,61.740002,6767900,60.305125
"2014-08-01",61.34,61.939999,61.049999,61.48,6122500,60.051166
"2014-08-04",61.66,62.59,61.200001,62.470001,5990800,61.018159
"2014-08-05",62.310001,62.91,61.630001,61.990002,10402300,60.549315
