"Date","Open","High","Low","Close","Volume","AdjClose"
"2014-01-02",38.27,38.380001,37.779999,37.900002,6324600,35.054942
"2014-01-03",37.970001,38.110001,37.650002,37.720001,5361400,34.888454
"2014-01-06",37.77,37.82,37.189999,37.279999,10717600,34.481482
"2014-01-07",37.459999,37.700001,37.259998,37.279999,7042700,34.481482
"2014-01-08",37.27,37.419998,36.959999,37.130001,13396900,34.342744
"2014-01-09",37.139999,37.380001,37.060001,37.25,5976000,34.453735
"2014-01-10",37.599998,37.650002,37.150002,37.259998,7150200,34.462983
"2014-01-13",37.25,37.299999,37,37.09,9797100,34.305746
"2014-01-14",37.119999,37.25,36.759998,36.98,9230900,34.204003
"2014-01-15",36.91,37.060001,36.77,36.900002,6057300,34.13001
"2014-01-16",36.84,37.330002,36.82,37.299999,6286200,34.499981
"2014-01-17",37.290001,37.330002,36.91,37.029999,8391300,34.250249
"2014-01-21",37.189999,37.369999,37,37.369999,10031900,34.564726
"2014-01-22",37.400002,37.630001,37.279999,37.5,5495000,34.684968
"2014-01-23",37.360001,37.41,36.950001,37.369999,8265500,34.564726
"2014-01-24",37.150002,37.48,37.029999,37.299999,13593800,34.499981
"2014-01-27",37.32,37.32,36.700001,36.830002,10823100,34.065265
"2014-01-28",36.880001,36.880001,36.57,36.849998,8115400,34.08376
"2014-01-29",36.68,36.689999,36.16,36.43,14367300,33.695291
"2014-01-30",36.240002,36.240002,35.16,35.349998,18659600,32.696362
"2014-01-31",35,35.529999,34.330002,35.220001,15457100,32.576123
"2014-02-03",35.169998,35.18,34.080002,34.110001,16108500,31.549447
"2014-02-04",34.299999,34.580002,34.150002,34.43,9864000,31.845426
"2014-02-05",34.150002,34.330002,33.799999,34,15802600,31.447704
"2014-02-06",34.099998,34.740002,34.049999,34.709999,18468900,32.104406
"2014-02-07",34.919998,35.34,34.779999,35.299999,11611300,32.650116
"2014-02-10",35.41,35.5,35.049999,35.189999,7507800,32.548373
"2014-02-11",35.099998,35.25,34.779999,35.139999,9588800,32.502127
"2014-02-12",35.25,35.259998,34.810001,34.93,10043700,32.307892
"2014-02-13",34.75,35.279999,34.740002,35.279999,8231700,32.631617
"2014-02-14",35.18,35.619999,35.049999,35.57,6584300,32.899848
"2014-02-18",35.549999,35.700001,35.369999,35.459999,5701100,32.798105
"2014-02-19",35.400002,35.5,35.099998,35.16,6337400,32.520626
"2014-02-20",35.18,35.619999,35.110001,35.529999,5979400,32.86285
"2014-02-21",35.549999,35.580002,35.27,35.369999,7104400,32.714861
"2014-02-24",35.34,35.700001,35.279999,35.380001,6287400,32.724112
"2014-02-25",35.389999,35.869999,35.380001,35.57,7845200,32.899848
"2014-02-26",35.630001,35.799999,35.400002,35.439999,5787400,32.779606
"2014-02-27",35.490002,35.939999,35.48,35.869999,5595500,33.177327
"2014-02-28",35.970001,36.41,35.970001,36.259998,8773100,33.53805
"2014-03-03",36.07,36.900002,36,36.450001,12823800,33.71379
"2014-03-04",36.869999,37.330002,36.82,37.07,11932400,34.287247
"2014-03-05",37.049999,37.299999,36.849998,36.950001,7815700,34.176256
"2014-03-06",37.029999,37.029999,36.630001,36.889999,10801200,34.120759
"2014-03-07",37,37.029999,36.580002,36.810001,6629300,34.046766
"2014-03-10",36.810001,36.93,36.669998,36.860001,5162900,34.093012
"2014-03-11",37,37.150002,36.66,36.759998,7791500,34.000516
"2014-03-12",36.23,36.25,35.98,36.139999,7220900,33.869313
"2014-03-13",36.279999,36.380001,35.91,35.970001,7924200,33.709996
"2014-03-14",35.860001,36.560001,35.860001,36.34,7843300,34.056748
"2014-03-17",36.450001,36.599998,36.25,36.380001,5416000,34.094236
"2014-03-18",36.369999,36.669998,36.25,36.59,4939900,34.291041
"2014-03-19",36.59,36.709999,35.860001,36.02,7321800,33.756854
"2014-03-20",35.939999,36.380001,35.84,36.349998,6574800,34.066118
"2014-03-21",36.540001,36.91,36.400002,36.450001,11001500,34.159837
"2014-03-24",36.549999,36.73,36.439999,36.689999,7088700,34.384756
"2014-03-25",36.830002,37,36.700001,36.91,6760900,34.590935
"2014-03-26",36.950001,37.349998,36.91,37.25,10929200,34.909572
"2014-03-27",37.169998,37.439999,37.07,37.23,8328400,34.890829
"2014-03-28",37.310001,37.360001,36.970001,37.119999,5252100,34.787739
"2014-03-31",37.25,37.490002,37.139999,37.43,5335800,35.078263
"2014-04-01",37.450001,37.59,37.130001,37.389999,5613100,35.040776
"2014-04-02",37.419998,37.639999,37.279999,37.580002,7720400,35.21884
"2014-04-03",37.700001,37.75,37.419998,37.59,4667900,35.22821
"2014-04-04",37.75,37.900002,37.509998,37.57,6233900,35.209466
"2014-04-07",37.57,37.970001,37.57,37.650002,8815700,35.284442
"2014-04-08",37.599998,38.119999,37.549999,37.889999,8755600,35.509361
"2014-04-09",37.869999,38.18,37.82,38.139999,7739300,35.743653
"2014-04-10",38.27,38.560001,37.77,37.82,12591800,35.443759
"2014-04-11",37.709999,38.189999,37.560001,37.650002,8729800,35.284442
"2014-04-14",37.880001,38.259998,37.740002,38.25,6864400,35.846742
"2014-04-15",38.25,38.34,38.049999,38.209999,7911800,35.809255
"2014-04-16",38.360001,38.560001,38.23,38.360001,6615500,35.949831
