"Date","Open","High","Low","Close","Volume","AdjClose"
"2014-01-02",49.880001,50.040001,49.299999,49.490002,7886500,46.874664
"2014-01-03",49.490002,50,49.459999,49.73,6435000,47.101979
"2014-01-06",49.810001,50.139999,49.509998,49.740002,9931400,47.111453
"2014-01-07",49.959999,50.400002,49.939999,50.110001,9995800,47.461899
"2014-01-08",50.099998,50.139999,49.599998,49.790001,13695700,47.15881
"2014-01-09",49.82,50,49.34,49.52,9323900,46.903078
"2014-01-10",49.830002,50.07,49.5,49.880001,8143100,47.244054
"2014-01-13",50.900002,53.439999,50.790001,53.119999,37291300,50.312831
"2014-01-14",52.529999,53.099998,52.169998,53,21190700,50.199174
"2014-01-15",52.650002,52.900002,52.349998,52.52,10488000,49.74454
"2014-01-16",52.150002,52.98,52.099998,52.5,7769600,49.725597
"2014-01-17",52.619999,52.650002,51.720001,51.950001,16758800,49.204663
"2014-01-21",52.029999,52.25,51.709999,51.830002,11035500,49.091005
"2014-01-22",51.77,51.98,51.279999,51.349998,10653600,48.636368
"2014-01-23",51.209999,51.75,50.860001,51.599998,15877800,48.873157
"2014-01-24",51.27,52.169998,51.130001,51.98,18261300,49.233076
"2014-01-27",52.860001,54.099998,52.529999,52.529999,31002000,49.75401
"2014-01-28",52.369999,53.09,52.220001,52.869999,15078200,50.076043
"2014-01-29",52.700001,52.84,51.779999,52.209999,19346100,49.450921
"2014-01-30",52.459999,53.669998,52.380001,53.509998,17371800,50.682221
"2014-01-31",53.310001,53.48,52.759998,52.970001,16290000,50.17076
"2014-02-03",52.91,53.150002,51.919998,52.080002,15488600,49.327794
"2014-02-04",52.59,53.52,52.400002,53.509998,18181900,50.682221
"2014-02-05",54.279999,55.200001,53.139999,53.529999,24506300,50.701164
"2014-02-06",53.259998,53.869999,52.799999,53.77,12244800,50.928483
"2014-02-07",53.650002,54.82,53.439999,54.77,14497100,51.875637
"2014-02-10",54.290001,55,54.220001,54.889999,10609600,51.989295
"2014-02-11",54.709999,55.75,54.439999,55.700001,15352600,52.756491
"2014-02-12",55.439999,55.689999,54.849998,55,13629700,52.093482
"2014-02-13",54.450001,55.209999,54.41,55.099998,10243400,52.188196
"2014-02-14",54.950001,55.619999,54.950001,55.439999,8681900,52.510229
"2014-02-18",55.220001,55.93,55.130001,55.689999,11201100,52.747017
"2014-02-19",55.439999,55.66,54.990002,55.040001,10297100,52.131369
"2014-02-20",55.110001,56,55.029999,55.810001,10133100,52.860679
"2014-02-21",55.849998,56.34,55.82,56.029999,11666600,53.06905
"2014-02-24",55.869999,56.919998,55.869999,56.18,11012500,53.211125
"2014-02-25",56.130001,56.389999,55.799999,55.91,8514500,52.955393
"2014-02-26",56,56.450001,55.919998,56.27,10139500,53.296369
