"Date","Open","High","Low","Close","Volume","AdjClose"
"2014-01-02",26.950001,27.01,26.780001,26.82,179300,26.82
"2014-01-03",26.940001,26.940001,26.790001,26.83,171500,26.83
"2014-01-06",26.610001,26.709999,26.52,26.620001,227800,26.620001
"2014-01-07",26.629999,26.65,26.51,26.58,180400,26.58
"2014-01-08",27.040001,27.200001,27,27.120001,437700,27.120001
"2014-01-09",26.870001,26.9,26.719999,26.85,240100,26.85
"2014-01-10",27.139999,27.32,26.99,27.07,285200,27.07
"2014-01-13",27.01,27.129999,26.92,26.98,271300,26.98
"2014-01-14",27.040001,27.16,26.969999,27.15,451500,27.15
"2014-01-15",27.01,27.01,26.860001,26.889999,330200,26.889999
"2014-01-16",27.08,27.299999,27.059999,27.299999,412400,27.299999
"2014-01-17",27.940001,27.99,27.84,27.98,294500,27.98
"2014-01-21",27.969999,27.969999,27.719999,27.83,248100,27.83
"2014-01-22",27.879999,27.879999,27.629999,27.74,209900,27.74
"2014-01-23",27.82,27.82,27.52,27.639999,382800,27.639999
"2014-01-24",27.6,27.6,27.370001,27.43,300800,27.43
"2014-01-27",26.98,26.98,26.65,26.82,262600,26.82
"2014-01-28",26.67,26.799999,26.610001,26.74,175100,26.74
"2014-01-29",26.549999,26.690001,26.5,26.610001,240100,26.610001
"2014-01-30",26.639999,26.76,26.540001,26.74,282100,26.74
"2014-01-31",26.73,27.049999,26.65,26.959999,200100,26.959999
"2014-02-03",26.379999,26.51,26.08,26.08,522100,26.08
"2014-02-04",25.610001,25.73,25.42,25.700001,464100,25.700001
"2014-02-05",25.799999,25.969999,25.75,25.940001,182800,25.940001
"2014-02-06",26.639999,26.809999,26.5,26.76,290500,26.76
"2014-02-07",27.040001,27.209999,26.969999,27.190001,212000,27.190001
"2014-02-10",27.17,27.26,27.129999,27.200001,625600,27.200001
"2014-02-11",27.25,27.48,27.18,27.469999,416600,27.469999
"2014-02-12",27.6,27.709999,27.58,27.709999,169900,27.709999
"2014-02-13",27.52,27.790001,27.469999,27.75,216600,27.75
"2014-02-14",27.59,27.700001,27.48,27.59,319600,27.59
"2014-02-18",27.620001,27.709999,27.559999,27.67,167700,27.67
"2014-02-19",27.76,27.91,27.75,27.799999,202400,27.799999
"2014-02-20",27.629999,27.709999,27.57,27.67,177600,27.67
"2014-02-21",27.67,27.889999,27.67,27.73,147900,27.73
"2014-02-24",27.98,28.139999,27.93,28.08,221200,28.08
"2014-02-25",28.08,28.18,28.030001,28.1,201800,28.1
"2014-02-26",28.32,28.4,28.17,28.280001,212600,28.280001
"2014-02-27",27.92,28.09,27.870001,28.08,152800,28.08
"2014-02-28",28.07,28.24,28.07,28.24,172100,28.24
"2014-03-03",27.459999,28.190001,27.34,27.440001,376100,27.440001
"2014-03-04",28.049999,28.290001,28.049999,28.25,180700,28.25
"2014-03-05",28.42,28.559999,28.35,28.540001,143100,28.540001
"2014-03-06",28.73,28.82,28.610001,28.709999,153600,28.709999
"2014-03-07",28.780001,28.780001,28.6,28.65,158100,28.65
"2014-03-10",28.370001,28.389999,28.219999,28.35,549700,28.35
"2014-03-11",28.74,28.77,28.610001,28.68,326300,28.68
"2014-03-12",28.629999,28.75,28.549999,28.75,174400,28.75
