"Date","Open","High","Low","Close","Volume","AdjClose"
"2014-01-02",79.040001,79.309998,78.540001,78.720001,1345400,74.05891
"2014-01-03",78.919998,79.339996,78.779999,79.110001,736900,74.425817
"2014-01-06",79.290001,79.629997,79.150002,79.190002,1056500,74.501082
"2014-01-07",79.720001,79.830002,79.349998,79.470001,2908500,74.764502
"2014-01-08",79.800003,80.010002,79.519997,79.709999,1078000,74.990289
"2014-01-09",79.800003,81.040001,79.269997,80.809998,2696100,76.025156
"2014-01-10",80.629997,81.370003,80.589996,81.339996,1641100,76.523773
"2014-01-13",80.940002,81.199997,80.330002,80.389999,1175300,75.630026
"2014-01-14",80.529999,80.940002,80.389999,80.739998,917400,75.959301
"2014-01-15",80.760002,81.089996,80.510002,80.839996,1533000,76.053378
"2014-01-16",81.68,81.879997,81.510002,81.779999,1404700,76.937722
"2014-01-17",81.580002,81.639999,81.029999,81.18,1006100,76.37325
"2014-01-21",81.379997,81.620003,81.169998,81.370003,1190500,76.552002
"2014-01-22",80.839996,80.989998,80.629997,80.790001,1275600,76.006343
"2014-01-23",81.830002,82.019997,81.449997,81.790001,2870100,76.947132
"2014-01-24",80.410004,80.5,79.650002,79.839996,2208400,75.112589
"2014-01-27",79.459999,79.470001,78.639999,78.779999,2397800,74.115355
"2014-01-28",79.379997,79.629997,79.07,79.559998,2051200,74.849169
"2014-01-29",79.129997,79.620003,78.839996,79.269997,4029200,74.57634
"2014-01-30",79.690002,80,79.660004,79.940002,2659600,75.206674
"2014-01-31",78.809998,79.480003,78.43,79.07,2538700,74.388185
"2014-02-03",79.870003,79.919998,78.5,78.620003,1953200,73.964833
"2014-02-04",78.43,78.489998,77.900002,78.199997,2981200,73.569696
"2014-02-05",78.529999,78.75,78.370003,78.550003,1732700,73.898978
"2014-02-06",79.550003,79.610001,79.089996,79.220001,1920300,74.529304
"2014-02-07",79.690002,80.93,79.68,80.919998,1498700,76.128643
"2014-02-10",80.230003,80.720001,80.150002,80.599998,2422700,75.827591
"2014-02-11",80.120003,80.989998,80.099998,80.860001,2305300,76.072198
"2014-02-12",80.809998,81.870003,80.800003,81.870003,2892800,77.022397
"2014-02-13",81.910004,82.32,81.839996,82.279999,2281700,77.408116
"2014-02-14",82.559998,82.940002,82.489998,82.940002,1937600,78.029041
"2014-02-18",82.599998,82.940002,82.589996,82.720001,1968700,77.822066
"2014-02-19",82.220001,82.550003,81.690002,81.760002,3414500,76.918909
"2014-02-20",81.860001,82.580002,81.690002,82.279999,3033300,77.408116
"2014-02-21",83.029999,83.099998,82.519997,82.650002,2180500,77.756211
"2014-02-24",83.209999,84,83.120003,83.519997,1732500,78.574693
"2014-02-25",83.93,84.330002,83.620003,83.800003,2292600,78.83812
"2014-02-26",83.809998,83.940002,83.330002,83.410004,1471000,78.471213
"2014-02-27",82.269997,82.620003,82.18,82.550003,2166300,80.279073
"2014-02-28",83.620003,83.629997,82.709999,83.18,3376800,80.891739
"2014-03-03",82.089996,82.239998,81.120003,81.290001,1806500,79.053733
"2014-03-04",82.540001,82.879997,82.309998,82.57,1598700,80.29852
"2014-03-05",83.190002,83.389999,82.949997,83.099998,1694600,80.813938
"2014-03-06",84.300003,84.370003,83.730003,83.82,2067300,81.514133
"2014-03-07",83.699997,83.769997,82.870003,83.139999,1940400,80.852839
"2014-03-10",83.129997,83.129997,82.489998,82.900002,1641600,80.619443
"2014-03-11",83.190002,83.440002,82.699997,82.800003,1276200,80.522196
"2014-03-12",82.550003,82.919998,82.440002,82.760002,1563900,80.483295
"2014-03-13",82.989998,83.25,81.5,81.660004,1600300,79.413557
"2014-03-14",81.470001,81.889999,81.440002,81.589996,929400,79.345476
"2014-03-17",81.730003,82.449997,81.720001,82.150002,620600,79.890076
"2014-03-18",82.489998,83.190002,82.360001,82.639999,1416600,80.366594
"2014-03-19",82.07,82.300003,80.709999,81.209999,1267400,78.975932
"2014-03-20",80.720001,81.459999,80.639999,81.309998,1129500,79.07318
"2014-03-21",82.300003,82.5,81.529999,81.730003,1783900,79.481631
"2014-03-24",81.769997,81.900002,80.769997,81.300003,1102300,79.06346
"2014-03-25",81.669998,82.110001,81.209999,81.870003,1914500,79.61778
"2014-03-26",81.849998,82.169998,81.110001,81.110001,1176600,78.878685
"2014-03-27",81.389999,81.660004,81.07,81.370003,1086300,79.131534
"2014-03-28",82,82.220001,81.419998,81.589996,896400,79.345476
"2014-03-31",84.739998,85.230003,84.540001,85.019997,2309200,82.681118
"2014-04-01",84.540001,84.860001,83.989998,84.510002,1506400,82.185153
"2014-04-02",84.129997,84.690002,84.07,84.57,1165200,82.2435
"2014-04-03",83.900002,83.910004,83.129997,83.410004,1323600,81.115415
"2014-04-04",82.910004,83.5,82.279999,82.510002,1573200,80.240173
"2014-04-07",82.660004,83.010002,82.269997,82.519997,1065700,80.249892
"2014-04-08",83.269997,83.580002,82.989998,83.419998,1732600,81.125135
"2014-04-09",83.089996,84.110001,83.07,84.029999,1709700,81.718355
"2014-04-10",84.459999,84.650002,83.75,83.830002,2665200,81.52386
"2014-04-11",82.900002,83.449997,82.580002,82.669998,1834400,80.395767
"2014-04-14",83.279999,83.989998,83.160004,83.830002,2669500,81.52386
"2014-04-15",84.139999,84.370003,82.870003,83.790001,2249400,81.484959
"2014-04-16",84.449997,84.510002,84.010002,84.410004,1024600,82.087906
"2014-04-17",84.349998,84.889999,84.129997,84.669998,969600,82.340748
"2014-04-21",84.709999,85.5,84.5,85.459999,1507200,83.109016
"2014-04-22",86.43,86.779999,86.18,86.559998,2158600,84.178754
"2014-04-23",86.919998,86.970001,86.07,86.169998,1845800,83.799483
"2014-04-24",84.620003,84.860001,83.709999,84.589996,2549900,82.262947
"2014-04-25",84.860001,84.910004,84.220001,84.470001,1437000,82.146253
"2014-04-28",85.699997,85.720001,84.459999,85.360001,2438200,83.011768
"2014-04-29",85.75,86.589996,85.739998,86.449997,2229500,84.071779
"2014-04-30",86.449997,86.970001,86.25,86.940002,2049100,84.548305
"2014-05-01",86.910004,87.25,86.550003,87,592000,84.606652
"2014-05-02",87.580002,87.75,87.18,87.360001,1299500,84.956749
"2014-05-05",87.18,87.82,86.949997,87.769997,984700,85.355466
"2014-05-06",88.260002,88.309998,87.589996,87.669998,2310200,85.258219
"2014-05-07",88.099998,88.349998,87.809998,88.309998,1532400,85.880612
"2014-05-08",88.540001,88.559998,87.739998,87.910004,2331100,85.491622
"2014-05-09",88.489998,88.690002,88.169998,88.410004,2691700,85.977867
"2014-05-12",88.699997,88.709999,88.339996,88.610001,2628600,86.172362
"2014-05-13",88.610001,88.699997,88.309998,88.470001,1314500,86.036214
"2014-05-14",89.220001,89.519997,89.050003,89.239998,2354200,86.785028
"2014-05-15",89.379997,89.959999,89.230003,89.93,4580200,87.456049
"2014-05-16",90,90.010002,89.5,89.879997,2671800,87.407421
"2014-05-19",89.389999,89.550003,89.139999,89.519997,1882900,87.057324
"2014-05-20",88.970001,89.239998,88.730003,89.080002,1522200,86.629433
"2014-05-21",89.300003,89.540001,89.160004,89.489998,1423100,87.02815
"2014-05-22",89.589996,90.07,89.529999,89.980003,4141200,87.504676
"2014-05-23",90.040001,90.400002,89.900002,90.209999,2267000,87.728345
"2014-05-27",90.239998,90.43,89.93,90.279999,2354200,87.796419
"2014-05-28",90.160004,90.260002,89.870003,89.889999,2061100,87.417148
"2014-05-29",90.25,90.269997,89.910004,90.160004,543200,87.679725
"2014-05-30",89.459999,90.099998,89.360001,90.059998,4092800,87.58247
"2014-06-02",89.059998,89.059998,88.489998,88.879997,1841400,86.434931
"2014-06-03",89.010002,89.080002,88.580002,88.879997,1687300,86.434931
"2014-06-04",88.620003,88.690002,88.230003,88.440002,2596600,86.00704
"2014-06-05",88.32,88.830002,88.160004,88.709999,1176500,86.269609
"2014-06-06",89.150002,89.209999,88.830002,89.010002,1068200,86.561359
"2014-06-09",89.110001,89.330002,88.889999,89.110001,1187400,86.658607
"2014-06-10",90.260002,90.529999,90.010002,90.529999,2102100,88.039541
"2014-06-11",89.970001,90,89.449997,89.510002,1027800,87.047604
"2014-06-12",89.330002,89.519997,89.150002,89.290001,859400,86.833655
"2014-06-13",89.150002,89.540001,89.040001,89.339996,649600,86.882275
"2014-06-16",90.139999,90.449997,90.059998,90.389999,972400,87.903393
"2014-06-17",89.790001,89.989998,89.57,89.860001,835700,87.387975
