"Date","Open","High","Low","Close","Volume","AdjClose"
"2014-01-02",82.93,82.989998,81.82,82.099998,3275900,78.103111
"2014-01-03",82.120003,82.870003,82.120003,82.239998,3287200,78.236294
"2014-01-06",82.199997,82.610001,82.080002,82.279999,3888400,78.274348
"2014-01-07",82.620003,83.989998,82.610001,83.480003,6332400,79.415932
"2014-01-08",83.330002,83.620003,82.809998,83.239998,5653300,79.187611
"2014-01-09",83.339996,83.389999,82.370003,82.849998,4565900,78.816598
"2014-01-10",83.199997,83.639999,82.75,83.5,3712000,79.434956
"2014-01-13",83.059998,83.57,82.32,82.370003,4487100,78.35997
"2014-01-14",82.629997,82.860001,82.260002,82.370003,4389200,78.35997
"2014-01-15",82.480003,83.199997,82.279999,82.889999,4189100,78.854652
"2014-01-16",82.68,83.169998,82.300003,82.860001,3724700,78.826113
"2014-01-17",82.940002,82.980003,82.040001,82.199997,6259600,78.198241
"2014-01-21",82.209999,83.07,82.150002,82.919998,4790700,78.88319
"2014-01-22",82.830002,83,82.470001,82.849998,3920400,78.816598
"2014-01-23",82.849998,82.849998,81.870003,82.43,5429100,78.417047
"2014-01-24",82.07,82.629997,81.43,81.43,5906200,77.46573
"2014-01-27",81.43,82.769997,81.419998,82.059998,5811000,78.065057
"2014-01-28",82.389999,82.669998,81.709999,82.32,3867800,78.312401
"2014-01-29",81.870003,81.870003,80.099998,80.220001,7539700,76.314638
"2014-01-30",80.620003,81.360001,80.550003,81.080002,4589100,77.132771
"2014-01-31",80.199997,80.82,79.900002,80.360001,6728600,76.447821
"2014-02-03",80.349998,80.510002,78.519997,78.57,7073500,74.744963
"2014-02-04",78.970001,79.169998,78.279999,78.82,5431700,74.982793
"2014-02-05",78.57,79.620003,78.440002,79.419998,4829600,75.553581
"2014-02-06",80.190002,80.199997,78.849998,79.389999,6113800,75.525043
"2014-02-07",79.68,80.260002,79.260002,80.220001,4553800,76.314638
"2014-02-10",80.169998,80.720001,80.160004,80.599998,4742000,76.676135
"2014-02-11",80.480003,81.330002,80.330002,81.25,5068100,77.294493
"2014-02-12",81.480003,81.849998,80.980003,81.489998,4471200,77.522807
"2014-02-13",80.769997,80.870003,78.360001,79.690002,11197000,75.810441
"2014-02-14",79.760002,79.82,78.059998,78.089996,13206500,74.288328
"2014-02-18",78.629997,78.629997,77.779999,78.18,9800200,74.37395
"2014-02-19",78.040001,78.43,77.010002,77.099998,10353400,73.346526
"2014-02-20",77.43,78.870003,77.370003,78.010002,9580300,74.212228
"2014-02-21",78.010002,78.910004,77.900002,78.220001,7488400,74.412004
"2014-02-24",78.309998,79.589996,78.309998,78.879997,7747000,75.039869
"2014-02-25",79.019997,79.75,78.93,79.230003,7509200,75.372836
"2014-02-26",79.5,79.879997,78.57,78.650002,6586200,74.82107
"2014-02-27",78.650002,79.459999,78.400002,79.07,7809200,75.220622
"2014-02-28",79.089996,80.400002,78.849998,80.07,9870600,76.171939
"2014-03-03",79.169998,79.709999,79.099998,79.519997,5767200,75.648711
"2014-03-04",79.809998,80.93,79.800003,80.849998,7518000,76.913965
"2014-03-05",80.389999,81.470001,80.309998,81.110001,6398300,77.707229
"2014-03-06",81.169998,81.440002,80.959999,81.330002,5874500,77.918001
"2014-03-07",81.510002,81.629997,81.029999,81.559998,4032200,78.138348
"2014-03-10",81.550003,81.830002,81.209999,81.730003,4313500,78.301221
"2014-03-11",81.839996,82.980003,81.790001,82.809998,5837300,79.335907
"2014-03-12",82.199997,82.550003,81.860001,82.150002,5674500,78.703599
"2014-03-13",82.209999,82.709999,81.629997,81.800003,6119000,78.368284
"2014-03-14",81.730003,82.190002,80.860001,81,7763000,77.601843
"2014-03-17",81.470001,82.139999,81.290001,82.050003,7762000,78.607796
"2014-03-18",82.019997,82.220001,81.589996,81.949997,3488300,78.511986
"2014-03-19",81.980003,81.989998,81.190002,81.370003,5106000,77.956324
"2014-03-20",81.360001,81.910004,81.25,81.860001,3241100,78.425765
"2014-03-21",82.220001,82.57,81.5,82.139999,9206700,78.694017
"2014-03-24",82.330002,82.57,81.529999,81.889999,5253600,78.454505
"2014-03-25",81.900002,82.5,81.900002,82.400002,4170500,78.943111
"2014-03-26",82.57,83.739998,82.489998,82.870003,6388200,79.393395
"2014-03-27",82.849998,83.209999,82.5,82.540001,4352000,79.077237
"2014-03-28",82.699997,83.209999,82.699997,82.949997,4078100,79.470033
"2014-03-31",83.739998,83.800003,83.169998,83.5,6620900,79.996962
"2014-04-01",83.07,83.269997,82.730003,82.879997,4676800,79.40297
"2014-04-02",82.82,82.949997,82.440002,82.730003,4919200,79.259269
"2014-04-03",82.919998,83.099998,82.599998,82.910004,3362700,79.431718
"2014-04-04",83.169998,83.18,82.580002,82.589996,4404100,79.125135
"2014-04-07",82.370003,84.230003,82.300003,83.910004,8976500,80.389765
"2014-04-08",83.93,84,83.150002,83.470001,6552700,79.968222
"2014-04-09",83.470001,84,83.279999,83.910004,4926400,80.389765
"2014-04-10",83.849998,84.82,83.599998,83.620003,7665500,80.11193
"2014-04-11",81.989998,84.220001,81.989998,83.150002,6703700,79.661647
"2014-04-14",83.57,83.910004,83.050003,83.550003,4617800,80.044867
"2014-04-15",83.970001,84.040001,83.540001,83.959999,5673800,80.437663
"2014-04-16",84.419998,84.980003,84.370003,84.769997,5578400,81.213679
"2014-04-17",85.900002,85.940002,84.489998,85.550003,11168400,81.960962
"2014-04-21",85.209999,85.949997,85.010002,85.910004,4889800,82.30586
"2014-04-22",85.830002,85.830002,85.139999,85.139999,4483300,81.568159
"2014-04-23",85.269997,85.699997,85.059998,85.410004,4805300,81.826836
"2014-04-24",85.379997,85.669998,85,85.519997,3749700,81.932215
"2014-04-25",85.459999,85.790001,85.110001,85.25,3749300,81.673545
"2014-04-28",85.540001,87,85.449997,86.82,5978500,83.177679
"2014-04-29",86.93,86.940002,85.760002,85.760002,4869100,82.162151
"2014-04-30",85.730003,86.07,85.43,85.889999,4387500,82.286695
"2014-05-01",86,86.129997,84.949997,85.57,3848700,81.98012
"2014-05-02",85.349998,85.860001,85.099998,85.519997,3438000,81.932215
"2014-05-05",85.169998,86.080002,85.139999,85.910004,2989800,82.30586
"2014-05-06",85.489998,85.980003,85.32,85.370003,3141100,81.788513
"2014-05-07",85.309998,87.120003,85.309998,86.800003,5500600,83.158522
"2014-05-08",86.790001,87.089996,86.419998,86.660004,3507900,83.024395
"2014-05-09",86.57,87.25,86.419998,87.169998,3330100,83.512994
"2014-05-12",87.32,87.68,86.629997,86.93,3218600,83.283065
"2014-05-13",86.949997,87.440002,86.809998,87.230003,2259400,83.570482
"2014-05-14",87.239998,87.440002,86.779999,86.839996,2726300,83.196837
"2014-05-15",86.839996,86.900002,85.690002,85.739998,3877100,82.142986
"2014-05-16",85.589996,86.620003,85.57,86.540001,3672600,82.909427
"2014-05-19",85.940002,86.199997,85.449997,86.099998,4201400,82.487884
"2014-05-20",85.959999,86.239998,85.360001,85.650002,4510200,82.056766
"2014-05-21",85.779999,86.150002,85.529999,86.099998,2647100,82.487884
"2014-05-22",86.059998,86.099998,85.400002,85.580002,2970600,81.989702
"2014-05-23",85.360001,86.050003,85.360001,85.830002,2750700,82.229214
"2014-05-27",85.809998,86.629997,85.650002,86.529999,4400100,82.899845
"2014-05-28",86.349998,87.160004,86.339996,87.07,4030700,83.417191
"2014-05-29",86.989998,87.839996,86.879997,87.730003,4647300,84.049506
"2014-05-30",87.610001,88.480003,87.410004,88.330002,5181600,84.624333
"2014-06-02",88.120003,88.389999,87.760002,87.870003,2876100,84.183632
"2014-06-03",87.440002,88.239998,87.309998,88.220001,5174700,84.518947
"2014-06-04",87.519997,88.050003,87.339996,87.43,3872400,84.388641
"2014-06-05",87.790001,87.919998,87.220001,87.760002,2937800,84.707163
"2014-06-06",87.860001,88.07,87.529999,87.910004,3675400,84.851947
