"Date","Open","High","Low","Close","Volume","AdjClose"
"2014-01-02",60.110001,60.139999,59.57,60.07,997000,54.664067
"2014-01-03",59.869999,59.939999,59.380001,59.610001,1044200,54.245465
"2014-01-06",59.759998,59.790001,59.209999,59.43,648700,54.081663
"2014-01-07",59.509998,59.93,59.43,59.599998,521300,54.236363
"2014-01-08",59.009998,59.290001,58.860001,58.950001,945100,53.644861
"2014-01-09",59.209999,59.330002,58.669998,58.91,834200,53.60846
"2014-01-10",59.580002,59.720001,59.400002,59.490002,687000,54.136265
"2014-01-13",58.799999,59.029999,58.279999,58.560001,998600,53.289959
"2014-01-14",58.880001,59.779999,58.650002,59.580002,1049700,54.218165
"2014-01-15",59.150002,59.73,59.09,59.580002,842300,54.218165
"2014-01-16",59.52,59.580002,59.130001,59.560001,531900,54.199965
"2014-01-17",59.68,59.939999,59.27,59.369999,837700,54.027062
"2014-01-21",60.459999,60.490002,59.66,59.990002,847800,54.591268
"2014-01-22",60.279999,60.419998,59.959999,60.130001,910900,54.718668
"2014-01-23",60.310001,60.32,59.68,60.080002,1446200,54.673169
"2014-01-24",59.459999,59.48,58.32,58.32,973300,53.071556
"2014-01-27",58.080002,58.25,57.630001,57.73,1781800,52.534652
"2014-01-28",58.169998,58.549999,58.02,58.43,1131600,53.171657
"2014-01-29",57.389999,58.18,57.25,57.759998,894500,52.561951
"2014-01-30",58.459999,58.490002,57.860001,58.32,1132300,53.071556
"2014-01-31",56.560001,57.330002,56.5,57.169998,1041200,52.025047
"2014-02-03",57.110001,57.25,56.040001,56.200001,914300,51.142344
"2014-02-04",56.220001,56.610001,56.029999,56.59,2396000,51.497246
"2014-02-05",56.610001,56.889999,56.52,56.75,908000,51.642847
"2014-02-06",57.57,58.290001,57.5,57.860001,836200,52.652954
"2014-02-07",58,59.07,57.91,58.91,1988700,53.60846
"2014-02-10",58.759998,58.77,58.419998,58.43,772300,53.171657
"2014-02-11",58.599998,59.59,58.529999,59.150002,684000,53.826863
"2014-02-12",59.299999,59.990002,59.240002,59.889999,1911500,54.500265
"2014-02-13",59.939999,60.419998,59.889999,60.200001,2329800,54.782368
"2014-02-14",60.57,61.16,60.490002,61.029999,1382300,55.537672
"2014-02-18",61.09,61.150002,60.740002,60.869999,737800,55.392071
"2014-02-19",61.049999,61.32,60.779999,60.91,813000,55.428472
"2014-02-20",61.41,61.610001,61.169998,61.419998,710600,55.892573
"2014-02-21",62.43,62.650002,62.259998,62.27,1135000,56.666081
"2014-02-24",62.939999,63.59,62.869999,63.150002,1047600,57.466887
"2014-02-25",63.34,63.82,63.060001,63.299999,1046500,57.603386
"2014-02-26",63.68,63.77,63.299999,63.419998,1534700,57.712586
"2014-02-27",63.389999,63.650002,63.240002,63.540001,1200300,57.821789
"2014-02-28",64.480003,64.970001,64.330002,64.900002,2973300,59.059398
"2014-03-03",64.07,64.309998,63.220001,63.52,1020400,57.803588
"2014-03-04",64.690002,64.739998,64.019997,64.019997,996500,58.258588
"2014-03-05",64.050003,64.629997,63.990002,64.57,1321300,58.759094
"2014-03-06",64.690002,65.279999,64.68,64.919998,3445100,59.077595
"2014-03-07",65.07,65.129997,64,64.529999,739800,58.722693
"2014-03-10",64.480003,64.610001,63.93,64.510002,654400,58.704496
"2014-03-11",64.610001,64.910004,63.959999,63.959999,788800,58.20399
"2014-03-12",63.66,64.510002,63.529999,64.18,1546800,58.404192
"2014-03-13",64.849998,64.849998,63,63,1393800,57.330385
"2014-03-14",63.43,64.25,63.330002,63.740002,1062900,58.003791
"2014-03-17",64.599998,64.970001,64.470001,64.699997,1110600,58.877392
"2014-03-18",65.510002,66.230003,65.209999,65.730003,1002000,59.814704
"2014-03-19",65.480003,65.620003,63.869999,64.279999,885600,59.221381
"2014-03-20",63.360001,64.330002,63.349998,63.77,1039100,58.751518
"2014-03-21",63.869999,64.760002,63.790001,63.84,1342800,58.816009
"2014-03-24",64.730003,64.739998,63.669998,64.120003,1431900,59.073976
"2014-03-25",64.389999,64.910004,64.029999,64.779999,1266600,59.682033
"2014-03-26",65.309998,65.540001,65.080002,65.129997,663700,60.004487
"2014-03-27",65.419998,65.959999,65.339996,65.489998,624700,60.336157
"2014-03-28",65.919998,66.110001,65.709999,65.980003,570900,60.787601
"2014-03-31",66.050003,66.300003,65.419998,65.599998,621800,60.437501
"2014-04-01",65.980003,66.169998,65.849998,66,554300,60.806024
"2014-04-02",66.029999,66.139999,65.669998,65.800003,512900,60.621766
"2014-04-03",66.010002,66.139999,65.720001,65.809998,1062000,60.630974
"2014-04-04",66.519997,66.75,66.169998,66.260002,591200,61.045565
"2014-04-07",66.220001,66.339996,65.459999,65.589996,648500,60.428286
"2014-04-08",66.080002,66.639999,65.879997,66.529999,715200,61.294314
"2014-04-09",67.379997,67.559998,67.050003,67.25,1126400,61.957653
"2014-04-10",66.870003,67,65.800003,65.980003,739700,60.787601
"2014-04-11",66.019997,66.639999,65.760002,66.209999,574100,60.999497
"2014-04-14",67.160004,68.029999,67.129997,67.730003,735000,62.399882
"2014-04-15",68.309998,68.309998,67.110001,67.739998,845000,62.40909
"2014-04-16",67.949997,68,67.419998,67.769997,572000,62.436728
"2014-04-17",67.849998,68.370003,67.800003,68.080002,1534600,62.722337
"2014-04-21",68.269997,68.370003,68.110001,68.230003,342100,62.860533
"2014-04-22",68.470001,68.650002,68.349998,68.650002,977400,63.247479
"2014-04-23",68.580002,68.650002,67.720001,67.989998,811000,62.639416
"2014-04-24",68.720001,69.059998,68.209999,68.510002,1434200,63.118497
"2014-04-25",68.650002,68.800003,68.360001,68.5,825400,63.109282
"2014-04-28",69.220001,69.790001,68.940002,69.68,2719800,64.196421
"2014-04-29",70.459999,71.379997,70.269997,70.339996,2126200,64.804477
"2014-04-30",71.120003,71.400002,70.239998,71.239998,3414300,65.633652
"2014-05-01",70.900002,71,70.5,70.860001,1068100,65.283559
"2014-05-02",70.440002,70.82,70.25,70.470001,3239500,64.924251
"2014-05-05",70.169998,71.050003,70.050003,70.970001,673700,65.384903
"2014-05-06",71.080002,71.110001,70.43,70.620003,1051700,65.062448
"2014-05-07",71.589996,72.029999,71.32,71.75,1042800,66.103518
"2014-05-08",72.629997,73.519997,72.370003,72.730003,1687300,67.006399
"2014-05-09",72.199997,72.239998,71.5,71.620003,1039800,65.983751
"2014-05-12",71.919998,72.019997,71.589996,71.779999,1748500,66.131156
"2014-05-13",71.389999,71.459999,70.900002,71.279999,1091900,65.670505
"2014-05-14",71.010002,71.339996,70.849998,70.949997,1507800,65.366473
"2014-05-15",70.779999,70.800003,69.910004,70.290001,1108000,64.758416
"2014-05-16",71.059998,71.349998,70.769997,71,982600,65.412541
