"Date","Open","High","Low","Close","Volume","AdjClose"
"2014-01-02",17.389999,17.4,17.110001,17.15,6029100,16.25583
"2014-01-03",17.08,17.16,16.92,16.950001,11362700,16.066259
"2014-01-06",16.99,17.02,16.860001,16.9,10370200,16.018865
"2014-01-07",16.9,16.98,16.83,16.91,13083100,16.028344
"2014-01-08",17.059999,17.16,17.049999,17.09,13428900,16.198959
"2014-01-09",16.969999,16.99,16.66,16.76,9422200,15.886165
"2014-01-10",16.84,17.01,16.82,16.9,11148000,16.018865
"2014-01-13",17.01,17.139999,16.9,16.91,10286100,16.028344
"2014-01-14",17.059999,17.389999,17.040001,17.379999,13334500,16.473838
"2014-01-15",17.48,17.700001,17.43,17.559999,15510900,16.644454
"2014-01-16",17.91,18.18,17.889999,18.15,21768200,17.203692
"2014-01-17",17.969999,17.969999,17.700001,17.77,14574800,16.843506
"2014-01-21",17.77,17.83,17.620001,17.690001,8371500,16.767677
"2014-01-22",17.77,17.98,17.719999,17.959999,12870700,17.023598
"2014-01-23",17.799999,17.940001,17.610001,17.700001,8872200,16.777155
"2014-01-24",17.719999,17.77,17.51,17.57,12403200,16.653932
"2014-01-27",17.309999,17.32,17.02,17.15,11006600,16.25583
"2014-01-28",17.190001,17.26,17.049999,17.16,7525700,16.265309
"2014-01-29",17.120001,17.24,16.98,17.01,9378900,16.12313
"2014-01-30",17.120001,17.26,17.1,17.139999,7230000,16.246352
"2014-01-31",17,17.120001,16.870001,16.92,13590600,16.037823
"2014-02-03",17.02,17.110001,16.68,16.77,14171700,15.895644
"2014-02-04",16.77,16.870001,16.700001,16.74,12321900,15.867207
"2014-02-05",16.620001,16.67,16.440001,16.459999,14334100,15.601805
"2014-02-06",16.700001,16.99,16.700001,16.99,10142700,16.104173
"2014-02-07",17.110001,17.27,17.08,17.16,9430700,16.265309
"2014-02-10",17.139999,17.32,17.1,17.26,8003300,16.360096
"2014-02-11",17.299999,17.450001,17.190001,17.389999,9631800,16.483317
"2014-02-12",17.459999,17.5,17.32,17.379999,6962800,16.473838
"2014-02-13",17.25,17.52,17.25,17.450001,6564600,16.54019
"2014-02-14",17.610001,17.959999,17.6,17.889999,11269900,16.957248
"2014-02-18",17.91,17.940001,17.68,17.790001,6412700,16.862463
"2014-02-19",17.73,17.879999,17.610001,17.76,8702500,16.834027
"2014-02-20",17.6,17.77,17.459999,17.690001,11836500,16.767677
"2014-02-21",17.809999,17.870001,17.690001,17.74,6013200,16.815069
"2014-02-24",17.709999,17.790001,17.65,17.690001,5499200,16.767677
"2014-02-25",17.639999,17.719999,17.59,17.620001,5944700,16.701327
"2014-02-26",17.639999,17.870001,17.620001,17.83,9376100,16.900377
"2014-02-27",17.809999,18.01,17.790001,18.01,8659800,17.070992
"2014-02-28",18.02,18.15,17.98,18.07,11279600,17.127863
"2014-03-03",17.860001,18.08,17.77,18.030001,18168800,17.08995
"2014-03-04",18.059999,18.129999,18.01,18.040001,12548700,17.099429
"2014-03-05",18.33,18.42,18.26,18.389999,9863100,17.431179
"2014-03-06",18.74,18.889999,18.67,18.870001,14240300,17.886154
"2014-03-07",19.01,19.02,18.690001,18.77,14153200,17.791367
"2014-03-10",18.700001,18.959999,18.67,18.959999,10652100,17.97146
"2014-03-11",18.92,18.959999,18.690001,18.77,8748200,17.791367
"2014-03-12",18.77,19.49,18.77,19.43,21260500,18.416956
"2014-03-13",19.42,19.52,19.18,19.27,18414700,18.265298
"2014-03-14",19.139999,19.290001,18.889999,18.9,13077400,17.914589
"2014-03-17",19.040001,19.16,18.950001,19.110001,10786300,18.113641
"2014-03-18",19.08,19.200001,19.040001,19.18,11987400,18.179991
"2014-03-19",19.08,19.1,18.77,18.879999,10596800,17.895631
"2014-03-20",18.549999,18.85,18.469999,18.85,13124200,17.867196
"2014-03-21",18.780001,18.85,18.42,18.530001,12885000,17.563881
"2014-03-24",18.610001,18.67,18.4,18.639999,7898200,17.668144
"2014-03-25",18.790001,19.18,18.790001,19.120001,17129500,18.123119
"2014-03-26",19.26,19.34,19.08,19.09,10597800,18.094683
"2014-03-27",19,19.5,19,19.42,14222200,18.407477
"2014-03-28",19.450001,19.9,19.450001,19.639999,11246400,18.616006
"2014-03-31",19.74,20.040001,19.73,20.02,14482300,18.976195
"2014-04-01",20.07,20.360001,20.059999,20.32,16133600,19.260553
"2014-04-02",20.299999,20.35,19.99,20.040001,14875200,18.995152
"2014-04-03",19.959999,20.09,19.799999,19.940001,14904400,18.900366
"2014-04-04",20.030001,20.190001,19.73,19.77,14585200,18.739229
"2014-04-07",19.65,19.809999,19.610001,19.74,9693500,18.710793
"2014-04-08",19.889999,19.98,19.790001,19.98,9181600,18.938279
"2014-04-09",19.959999,20.209999,19.959999,20.15,9754100,19.099416
"2014-04-10",20.209999,20.299999,19.790001,19.82,9776500,18.786622
"2014-04-11",19.82,19.959999,19.74,19.889999,8414400,18.852972
"2014-04-14",20.059999,20.33,19.98,20.26,9819500,19.203681
"2014-04-15",20.33,20.559999,20.059999,20.51,22468600,19.440647
"2014-04-16",20.41,20.42,20.049999,20.15,15121500,19.099416
"2014-04-17",20.59,20.92,20.57,20.719999,20492800,19.639697
"2014-04-21",20.4,20.59,20.26,20.559999,11525800,19.488039
"2014-04-22",20.379999,20.58,20.35,20.559999,11191200,19.488039
"2014-04-23",20.370001,20.459999,20.299999,20.41,9031700,19.34586
"2014-04-24",20.440001,20.6,20.26,20.559999,12202800,19.488039
"2014-04-25",20.07,20.15,19.85,19.91,15474700,18.871929
"2014-04-28",20.129999,20.309999,20.059999,20.299999,14382700,19.241595
"2014-04-29",20.290001,20.4,20.08,20.1,13771200,19.052024
"2014-04-30",19.959999,20.1,19.799999,20.1,12965700,19.052024
"2014-05-01",20.09,20.110001,19.75,19.77,10276400,18.739229
"2014-05-02",19.75,19.799999,19.620001,19.620001,11073200,18.59705
"2014-05-05",19.530001,19.73,19.5,19.66,7061200,18.634964
"2014-05-06",19.780001,20.09,19.73,20,10549900,18.957237
"2014-05-07",20.040001,20.34,19.969999,20.33,14637400,19.270031
"2014-05-08",20.35,20.59,20.33,20.51,13522200,19.440647
"2014-05-09",20.5,20.549999,20.26,20.41,10384000,19.34586
"2014-05-12",20.120001,20.59,20.110001,20.59,19623700,19.516476
"2014-05-13",20.52,20.709999,20.42,20.639999,9547500,19.563868
"2014-05-14",20.709999,20.860001,20.549999,20.58,10140100,19.506997
"2014-05-15",20.58,20.700001,20.42,20.66,12943300,19.582826
"2014-05-16",20.67,20.82,20.389999,20.77,9131200,19.687091
"2014-05-19",20.639999,20.73,20.57,20.66,6459900,19.582826
"2014-05-20",20.530001,20.709999,20.459999,20.51,4564200,19.440647
"2014-05-21",20.51,20.620001,20.48,20.5,5629400,19.431168
"2014-05-22",20.57,20.719999,20.530001,20.639999,6156500,19.563868
"2014-05-23",20.719999,20.719999,20.549999,20.66,7179700,19.582826
"2014-05-27",20.83,20.959999,20.700001,20.889999,7520300,19.800833
"2014-05-28",20.950001,21.02,20.809999,20.860001,7761100,19.772399
"2014-05-29",20.85,20.85,20.639999,20.700001,6114900,19.620741
"2014-05-30",20.4,20.629999,20.4,20.559999,6671500,19.488039
"2014-06-02",20.67,20.690001,20.57,20.66,6475000,19.582826
"2014-06-03",20.700001,21.299999,20.629999,21.24,20116100,20.132585
"2014-06-04",21.219999,21.26,21.08,21.1,10888700,19.999885
"2014-06-05",21.120001,21.209999,21.049999,21.200001,8404000,20.094672
"2014-06-06",21.219999,21.23,21.07,21.09,7647900,19.990407
"2014-06-09",21.290001,21.32,21.16,21.209999,8131800,20.104149
"2014-06-10",21.190001,21.4,21.129999,21.299999,7595600,20.189457
"2014-06-11",21.309999,21.370001,21.049999,21.129999,7507600,20.02832
"2014-06-12",21.1,21.219999,20.99,21.110001,5641600,20.009364
"2014-06-13",21.139999,21.209999,21.02,21.09,5705100,19.990407
"2014-06-16",21.09,21.219999,21.07,21.209999,4543500,20.104149
"2014-06-17",21.23,21.299999,21.129999,21.26,10287700,20.151543
"2014-06-18",21.23,21.440001,21.129999,21.35,8455000,20.236851
"2014-06-19",21.34,21.690001,21.34,21.690001,9709300,20.559124
"2014-06-20",21.48,21.5,21.139999,21.15,8450400,20.047278
"2014-06-23",21.02,21.02,20.83,20.85,6105200,19.76292
"2014-06-24",21.059999,21.15,20.75,20.780001,8122200,19.69657
"2014-06-25",20.879999,21.059999,20.48,21.030001,5486200,19.933535
"2014-06-26",21.059999,21.15,20.91,21.02,5177100,19.924057
"2014-06-27",21.18,21.299999,21.120001,21.280001,5816000,20.170501
"2014-06-30",21.35,21.450001,21.27,21.389999,6491200,20.274764
"2014-07-01",21.67,21.98,21.67,21.969999,8655700,20.824524
"2014-07-02",22.360001,22.629999,22.26,22.379999,10574100,21.213147
"2014-07-03",22.58,22.709999,22.51,22.709999,4317800,21.525942
"2014-07-07",22.82,22.879999,22.620001,22.67,12390700,21.488028
"2014-07-08",22.610001,22.68,22.459999,22.57,10319000,21.393242
"2014-07-09",22.450001,22.49,22.33,22.42,12353400,21.251063
"2014-07-10",22.209999,22.950001,22.200001,22.950001,14431800,21.75343
"2014-07-11",23,23.07,22.74,22.809999,13026000,21.620728
"2014-07-14",22.540001,22.68,22.42,22.66,14313800,21.961884
"2014-07-15",22.57,22.59,22.24,22.469999,10256800,21.777738
"2014-07-16",21.65,21.700001,20.91,20.93,41814000,20.285183
"2014-07-17",20.83,20.83,20.120001,20.200001,25798200,19.577674
"2014-07-18",20.559999,20.67,20.440001,20.48,19052400,19.849046
"2014-07-21",20.52,20.559999,20.4,20.43,17570900,19.800587
"2014-07-22",20.709999,20.809999,20.67,20.709999,10489800,20.07196
"2014-07-23",20.75,20.790001,20.639999,20.68,11879700,20.042885
"2014-07-24",20.84,20.969999,20.75,20.889999,12694300,20.246415
"2014-07-25",20.639999,20.639999,20.299999,20.35,12177800,19.723052
"2014-07-28",20.200001,20.42,20.129999,20.370001,12681000,19.742436
"2014-07-29",20.67,20.799999,20.530001,20.540001,9895500,19.907199
"2014-07-30",20.74,20.780001,20.610001,20.719999,9957300,20.081652
"2014-07-31",20.18,20.280001,19.92,20,16332100,19.383835
"2014-08-01",20.030001,20.299999,20.030001,20.200001,9833500,19.577674
"2014-08-04",20.559999,20.620001,20.35,20.51,9836300,19.878123
"2014-08-05",20.01,20.049999,19.68,19.799999,13411900,19.189996
"2014-08-06",19.959999,20.110001,19.889999,20.040001,9394300,19.422603
"2014-08-07",20.1,20.24,19.870001,19.91,8653500,19.296607
"2014-08-08",19.969999,20.030001,19.719999,19.790001,19783100,19.180305
"2014-08-11",20.01,20.17,20.01,20.049999,10054400,19.432293
"2014-08-12",20.1,20.110001,19.9,19.99,9283800,19.374142
"2014-08-13",20.33,20.450001,20.27,20.33,11932500,19.703668
"2014-08-14",20.549999,20.6,20.459999,20.530001,6287000,19.897507
"2014-08-15",20.549999,20.549999,20.299999,20.450001,7212400,19.819972
"2014-08-18",20.43,20.49,20.34,20.469999,4432100,19.839354
"2014-08-19",20.639999,20.809999,20.639999,20.74,7677200,20.101036
"2014-08-20",20.74,20.9,20.719999,20.84,10026700,20.197956
"2014-08-21",20.719999,20.790001,20.59,20.620001,10642500,19.984734
"2014-08-22",20.74,21,20.74,20.83,11389900,20.188264
"2014-08-25",20.85,20.870001,20.65,20.68,9991200,20.042885
"2014-08-26",20.709999,20.85,20.639999,20.799999,7830700,20.159187
"2014-08-27",20.92,20.950001,20.690001,20.91,12153100,20.265799
"2014-08-28",20.719999,20.93,20.59,20.91,7620800,20.265799
"2014-08-29",20.950001,20.950001,20.809999,20.940001,5322800,20.294875
"2014-09-02",21.02,21.26,20.99,21.08,8116900,20.430562
"2014-09-03",21.280001,21.379999,21.17,21.35,9850200,20.692244
"2014-09-04",21.32,21.379999,21.18,21.190001,8057900,20.537173
"2014-09-05",21.129999,21.190001,20.98,21.18,5969000,20.527481
"2014-09-08",21.17,21.18,21.01,21.07,6724200,20.420869
"2014-09-09",21.07,21.200001,20.98,21.049999,7312400,20.401485
"2014-09-10",20.799999,21.08,20.75,21.030001,6244800,20.382103
"2014-09-11",20.83,20.940001,20.74,20.9,7389100,20.256107
"2014-09-12",20.74,20.76,20.280001,20.34,15155100,19.71336
"2014-09-15",20.469999,20.469999,20.23,20.24,8072900,19.61644
"2014-09-16",20.23,20.59,20.139999,20.48,8209000,19.849046
"2014-09-17",20.559999,20.73,20.540001,20.620001,6456800,19.984734
"2014-09-18",20.700001,20.959999,20.65,20.92,8889700,20.275491
"2014-09-19",20.879999,20.950001,20.5,20.52,8952700,19.887815
"2014-09-22",20.43,20.450001,20.200001,20.360001,12063100,19.732744
"2014-09-23",20.290001,20.48,20.280001,20.34,9091000,19.71336
"2014-09-24",20.5,20.639999,20.450001,20.59,9684500,19.955658
"2014-09-25",20.33,20.370001,20.059999,20.110001,12835200,19.490446
"2014-09-26",20.08,20.200001,20.07,20.139999,11396400,19.519521
"2014-09-29",19.93,20.030001,19.75,19.950001,12150400,19.335376
"2014-09-30",19.9,20.190001,19.809999,20.18,15357400,19.558289
"2014-10-01",20.18,20.23,19.99,20.1,16100700,19.480754
"2014-10-02",20.1,20.41,19.93,20.290001,22937000,19.664901
"2014-10-03",20.610001,20.9,20.530001,20.83,19548800,20.188264
"2014-10-06",20.9,20.91,20.700001,20.82,19804800,20.178572
"2014-10-07",20.690001,20.74,20.360001,20.379999,9473500,19.752127
"2014-10-08",20.17,20.66,20.120001,20.6,12264600,19.96535
"2014-10-09",20.77,20.780001,20.41,20.469999,10846800,19.839354
"2014-10-10",20.18,20.219999,19.389999,19.440001,28668600,18.841088
