"Date","Open","High","Low","Close","Volume","AdjClose"
"2014-01-02",40.369999,40.41,40.16,40.310001,1250400,38.023867
"2014-01-03",40.330002,40.439999,40.18,40.259998,869400,37.9767
"2014-01-06",40.169998,40.32,40.099998,40.150002,970900,37.872942
"2014-01-07",40.23,40.400002,40.220001,40.299999,1217100,38.014432
"2014-01-08",39.860001,39.880001,39.720001,39.830002,1674900,37.57109
"2014-01-09",39.150002,39.540001,39.119999,39.5,2456300,37.259804
"2014-01-10",39.459999,39.810001,39.459999,39.740002,2284000,37.486194
"2014-01-13",39.119999,39.610001,39.110001,39.450001,2126300,37.212641
"2014-01-14",39.990002,40.02,39.759998,39.959999,2488500,37.693715
"2014-01-15",39.389999,39.610001,39.209999,39.419998,2378600,37.18434
"2014-01-16",39.889999,40.110001,39.779999,40.099998,1395500,37.825774
"2014-01-17",39.970001,40.139999,39.779999,39.830002,1790600,37.57109
"2014-01-21",41.419998,41.419998,40.869999,41.130001,1827300,38.797362
"2014-01-22",41.599998,41.77,41.580002,41.709999,1288100,39.344466
"2014-01-23",41.599998,41.689999,41.459999,41.599998,1056000,39.240704
"2014-01-24",41.23,41.23,40.52,40.52,1433000,38.221956
"2014-01-27",40.66,40.689999,40.290001,40.360001,1613300,38.071031
"2014-01-28",40.27,40.360001,40.110001,40.25,1224200,37.967269
"2014-01-29",39.610001,39.75,39.439999,39.529999,1352800,37.288102
"2014-01-30",39.290001,39.389999,39.009998,39.150002,2e+06,36.929655
"2014-01-31",38.400002,38.810001,38.299999,38.610001,2055700,36.42028
"2014-02-03",38.630001,38.689999,38,38.009998,2289200,35.854306
"2014-02-04",38.240002,38.27,38.049999,38.189999,1381200,36.024098
"2014-02-05",37.639999,37.959999,37.630001,37.849998,1174300,36.047906
"2014-02-06",38.18,38.630001,38.119999,38.580002,1413200,36.743153
"2014-02-07",38.84,39.150002,38.759998,39.110001,1368000,37.247918
"2014-02-10",39.02,39.299999,39,39.259998,1007800,37.390774
"2014-02-11",39.27,39.73,39.189999,39.66,1234200,37.771731
"2014-02-12",39.419998,39.490002,39.27,39.32,1222500,37.447919
"2014-02-13",39.240002,39.580002,39.23,39.540001,906500,37.657446
"2014-02-14",39.330002,39.57,39.32,39.560001,1237800,37.676494
"2014-02-18",40.330002,40.52,40.119999,40.41,1279600,38.486023
"2014-02-19",40.400002,40.669998,40.369999,40.43,878700,38.505071
"2014-02-20",40.509998,40.84,40.400002,40.740002,955600,38.800313
"2014-02-21",40.709999,40.939999,40.560001,40.59,1093100,38.657453
"2014-02-24",40.82,41.290001,40.77,41.07,1267700,39.114599
"2014-02-25",41.27,41.43,41.07,41.34,3395000,39.371744
"2014-02-26",41.049999,41.119999,40.709999,40.779999,1232800,38.838405
"2014-02-27",40.66,41.029999,40.639999,40.990002,1019700,39.03841
"2014-02-28",41.029999,41.189999,40.84,41.029999,1630300,39.076502
"2014-03-03",40.369999,40.529999,40.139999,40.240002,1292300,38.324118
"2014-03-04",41.060001,41.290001,41,41.25,916600,39.286029
"2014-03-05",40.889999,41.110001,40.860001,40.950001,649200,39.000313
