,AGN,BA,BABA,BAC,BMY,BP,BUD,C,CHL,CVS,CVX,DIS,GE,HD,HSBC,IBM,JNJ,JPM,KO,LFC,LLY,MA,MCD,MDT,MO,MRK,NTT,NVO,NVS,ORCL,PEP,PFE,PG,PM,PTR,RAI,SLB,SNY,T,TM,TOT,TSM,UL,UN,UNH,V,VZ,WFC,WMT,XOM
2014-01-01,1,1,0,3,0,1,0,1,0,0,1,0,3,0,0,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,3,-1,0,0,0,0,0,4,0,-1,0,0
2014-01-02,1,0,0,74,1,2,-1,20,3,0,0,0,3,0,0,3,2,12,1,0,1,2,2,0,1,0,0,0,0,-2,3,-2,0,0,0,-1,-1,0,-1,3,1,0,1,0,1,4,0,-2,1,3
2014-01-03,0,-1,0,47,2,2,0,28,2,0,0,2,1,0,0,-2,2,6,0,0,1,3,0,2,3,1,0,0,4,-2,0,-2,3,2,0,-2,0,1,4,0,0,0,0,0,-3,-1,2,3,9,0
2014-01-04,0,5,0,2,1,0,-1,8,-1,-1,5,2,1,0,0,1,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,2,1,1
2014-01-05,0,-1,0,9,1,0,0,10,0,0,0,0,1,0,0,0,0,-2,0,0,0,-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,-3,0,0,0,0,0,-1,0,1,-1,3,0
2014-01-06,0,5,0,24,0,2,0,30,2,-1,3,-3,0,2,0,-1,0,-5,0,2,1,-3,0,4,0,0,0,0,0,-1,0,-1,1,0,1,0,0,0,5,2,0,-1,0,-1,3,5,1,4,-3,2
2014-01-07,3,3,0,0,0,3,-2,5,-3,0,2,2,4,2,0,4,7,-12,0,0,5,-2,2,0,-3,2,0,0,0,4,3,3,7,0,0,0,-1,1,3,1,1,1,0,0,1,0,3,1,0,1
2014-01-08,0,-1,0,20,-2,6,0,8,0,0,0,4,-1,0,0,2,7,-6,0,0,-2,-4,-4,0,1,3,0,1,2,-1,1,6,2,-3,0,0,2,1,0,1,0,0,0,0,3,8,1,2,0,5
2014-01-09,1,-5,0,21,0,2,0,10,3,2,0,1,6,0,0,-2,10,0,0,0,0,1,0,-2,0,0,0,0,0,0,-1,0,5,5,0,0,1,0,-1,1,3,0,0,0,0,0,2,0,0,3
2014-01-10,0,-2,0,24,3,-1,0,11,5,2,-1,4,6,-1,0,-2,1,11,3,0,0,-3,0,0,-1,0,0,1,-1,0,2,-1,-1,3,0,-2,3,0,3,0,0,0,0,0,1,-5,4,5,-1,3
